"shows_names","shows_url"
"Sin City Diaries","http://www.tv.com/shows/sin-city-diaries/"
"The Wonder Years","http://www.tv.com/shows/the-wonder-years/"
"E! True Hollywood Story","http://www.tv.com/shows/e-true-hollywood-story/"
"The Berenstain Bears","http://www.tv.com/shows/the-berenstain-bears/"
"Taxi Brooklyn","http://www.tv.com/shows/taxi-brooklyn/"
"Scorpion","http://www.tv.com/shows/scorpion/"
"Legend of the Seeker","http://www.tv.com/shows/legend-of-the-seeker/"
"Batman: The Animated Series","http://www.tv.com/shows/batman-the-animated-series/"
"Alfred Hitchcock Presents","http://www.tv.com/shows/alfred-hitchcock-presents/"
"Kyle XY","http://www.tv.com/shows/kyle-xy/"
"Friends with Better Lives","http://www.tv.com/shows/friends-with-better-lives/"
"My Wife and Kids","http://www.tv.com/shows/my-wife-and-kids/"
"Lois & Clark: The New Adventures of Superman","http://www.tv.com/shows/lois-and-clark-the-new-adventures-of-superman/"
"Fear Factor","http://www.tv.com/shows/fear-factor/"
"My Brother and Me","http://www.tv.com/shows/my-brother-and-me/"
"Dark Angel","http://www.tv.com/shows/dark-angel/"
"Army Wives","http://www.tv.com/shows/army-wives/"
"Hey Arnold!","http://www.tv.com/shows/hey-arnold/"
"Vampire Knight","http://www.tv.com/shows/vampire-knight/"
"Jake and the Never Land Pirates","http://www.tv.com/shows/jake-and-the-never-land-pirates/"
"Flavor of Love","http://www.tv.com/shows/flavor-of-love/"
"Fullmetal Alchemist: Brotherhood","http://www.tv.com/shows/fullmetal-alchemist-brotherhood/"
"Ancient Aliens","http://www.tv.com/shows/ancient-aliens/"
"MasterChef Australia","http://www.tv.com/shows/masterchef-australia/"
"Sanjay and Craig","http://www.tv.com/shows/sanjay-and-craig/"
"Austin City Limits","http://www.tv.com/shows/austin-city-limits/"
"Inspector George Gently","http://www.tv.com/shows/inspector-george-gently/"
"PBS NewsHour","http://www.tv.com/shows/pbs-newshour/"
"Love, American Style","http://www.tv.com/shows/love-american-style/"
"Out of This World","http://www.tv.com/shows/out-of-this-world/"
"From Dusk Till Dawn","http://www.tv.com/shows/from-dusk-till-dawn/"
"Army Wives","http://www.tv.com/shows/army-wives/"
"Body of Proof","http://www.tv.com/shows/body-of-proof/"
"The Lying Game","http://www.tv.com/shows/the-lying-game/"
"Undercover Boss","http://www.tv.com/shows/undercover-boss/"
"Emmerdale","http://www.tv.com/shows/emmerdale/"
"Cake Boss","http://www.tv.com/shows/cake-boss/"
"Lewis","http://www.tv.com/shows/lewis/"
"Quantum Leap","http://www.tv.com/shows/quantum-leap/"
"The Love Boat","http://www.tv.com/shows/the-love-boat/"
"Ancient Aliens","http://www.tv.com/shows/ancient-aliens/"
"Mad About You","http://www.tv.com/shows/mad-about-you/"
"Designing Women","http://www.tv.com/shows/designing-women/"
"Jumong","http://www.tv.com/shows/jumong/"
"Austin City Limits","http://www.tv.com/shows/austin-city-limits/"
"Ridiculousness","http://www.tv.com/shows/ridiculousness/"
"He-Man and the Masters of the Universe","http://www.tv.com/shows/heman-and-the-masters-of-the-universe/"
